,date,value
0,1388534400000,115.6044824386533
1,1388620800000,115.8964513343006
2,1388707200000,115.81434628113036
3,1388793600000,116.02129261888332
4,1388880000000,115.88702752096822
5,1388966400000,116.49152603340004
6,1389052800000,116.7062366379673
7,1389139200000,116.37287336622902
8,1389225600000,115.92507753938504
9,1389312000000,116.2516721568913
10,1389398400000,115.97514656338348
11,1389484800000,115.7316503006782
12,1389571200000,115.9490603072108
13,1389657600000,115.25862886739438
14,1389744000000,114.94386679990954
15,1389830400000,115.27807343894824
16,1389916800000,115.22614313953876
17,1390003200000,115.23626845512776
18,1390089600000,115.1956319309812
19,1390176000000,116.16398145304623
20,1390262400000,115.66435247478788
21,1390348800000,115.69415664563924
22,1390435200000,117.04059896449516
23,1390521600000,118.22609162343949
24,1390608000000,118.70286443312357
25,1390694400000,119.17457281316536
26,1390780800000,118.97679469249223
27,1390867200000,118.18154967009325
28,1390953600000,118.85517540721102
29,1391040000000,118.50160154686318
30,1391126400000,119.44683187718933
31,1391212800000,119.41642498780982
32,1391299200000,119.45186356464328
33,1391385600000,120.63123183032292
34,1391472000000,119.68939265794974
35,1391558400000,119.75906742038184
36,1391644800000,119.0754893409094
37,1391731200000,118.45044992146558
38,1391817600000,118.30273785386512
39,1391904000000,118.16589668411528
40,1391990400000,118.53298619601
41,1392076800000,118.02954668570312
42,1392163200000,117.65321873325767
43,1392249600000,116.97218177586952
44,1392336000000,116.2932173857569
45,1392422400000,115.71536401736914
46,1392508800000,115.82182007880526
47,1392595200000,115.73233695918805
48,1392681600000,115.09987946450715
49,1392768000000,115.08062955367842
50,1392854400000,115.38193358030966
51,1392940800000,114.84296687170476
52,1393027200000,114.60282402430292
53,1393113600000,114.3432040192752
54,1393200000000,113.7770199505606
55,1393286400000,113.95934898584407
56,1393372800000,113.68047693334128
57,1393459200000,114.18090772539747
58,1393545600000,114.04967249253323
59,1393632000000,114.02904842440223
60,1393718400000,114.1837618616372
61,1393804800000,114.16460421724258
62,1393891200000,113.75734862963624
63,1393977600000,113.38623122116827
64,1394064000000,111.7948747805831
65,1394150400000,110.95942546516125
66,1394236800000,110.75248301184328
67,1394323200000,110.86614885091169
68,1394409600000,110.20628172900952
69,1394496000000,110.68849987624183
70,1394582400000,111.22147994398904
71,1394668800000,111.93294140297016
72,1394755200000,111.95012281686998
73,1394841600000,112.03770729576148
74,1394928000000,111.86130120384465
75,1395014400000,111.21553792643088
76,1395100800000,111.48249491387094
77,1395187200000,110.78887048600886
78,1395273600000,111.67894205125246
79,1395360000000,111.90282746699542
80,1395446400000,111.8106829614996
81,1395532800000,111.77209733581904
82,1395619200000,111.39963095866833
83,1395705600000,111.4740524883941
84,1395792000000,111.81753629930706
85,1395878400000,111.86611458861668
86,1395964800000,110.86080359585924
87,1396051200000,110.6426764108439
88,1396137600000,110.57723256415692
89,1396224000000,109.98924782265983
90,1396310400000,109.2003707961003
91,1396396800000,108.90493903397568
92,1396483200000,108.9554226132322
93,1396569600000,109.48067148497596
94,1396656000000,109.49397369778578
95,1396742400000,109.5461098503141
96,1396828800000,109.69888077082696
97,1396915200000,110.61534891508369
98,1397001600000,110.56265468696604
99,1397088000000,111.57437444190988
100,1397174400000,112.23411412448266
101,1397260800000,112.3345293571174
102,1397347200000,112.3878339422008
103,1397433600000,112.26264033362044
104,1397520000000,112.28682048723375
105,1397606400000,111.97916921585998
106,1397692800000,111.61545123952412
107,1397779200000,111.70794537638288
108,1397865600000,111.59327507072264
109,1397952000000,111.61415535589988
110,1398038400000,111.6113880242182
111,1398124800000,112.02966469043452
112,1398211200000,113.04838669620376
113,1398297600000,113.55677423327394
114,1398384000000,113.39166543891416
115,1398470400000,113.233906659028
116,1398556800000,113.3213604729118
117,1398643200000,113.0065943291698
118,1398729600000,112.71002152825244
119,1398816000000,113.05087556238888
120,1398902400000,112.93088454570858
121,1398988800000,112.83281409467544
122,1399075200000,112.73698556323907
123,1399161600000,112.71418270028208
124,1399248000000,112.72893112112922
125,1399334400000,113.32154855521831
126,1399420800000,113.412880331015
127,1399507200000,113.73837748285754
128,1399593600000,113.38897877432208
129,1399680000000,113.3693255148382
130,1399766400000,113.34093862920668
131,1399852800000,112.922494215292
132,1399939200000,112.81670953438108
133,1400025600000,112.57144858986425
134,1400112000000,112.75369931164548
135,1400198400000,112.23998288059248
136,1400284800000,112.25324086843452
137,1400371200000,112.34669198461027
138,1400457600000,112.25439623870412
139,1400544000000,113.04754299403535
140,1400630400000,113.2615735269594
141,1400716800000,113.30838638706072
142,1400803200000,113.63531539523645
143,1400889600000,113.69462280696592
144,1400976000000,113.55791754602072
145,1401062400000,113.5449834818112
146,1401148800000,113.54179638328937
147,1401235200000,114.07196208943212
148,1401321600000,114.40174874400498
149,1401408000000,114.64295542102369
150,1401494400000,114.77228726927515
151,1401580800000,114.807798362792
