date,value
1009843200000,10233.280382
1009929600000,10316.98108
1010016000000,10267.601816
1010102400000,10291.227385
1010188800000,10163.949073
1010275200000,10163.949073
1010361600000,10269.649074
1010448000000,10320.535414
1010534400000,10316.550836
1010620800000,10325.030868
1010707200000,10323.477969
1010793600000,10207.175693
1010880000000,10207.175693
1010966400000,10296.678616
1011052800000,10258.459426
1011139200000,10293.056029
1011225600000,10290.75859
1011312000000,10302.255959
1011398400000,10209.006811
1011484800000,10209.006811
1011571200000,10288.359729
1011657600000,10305.685164
1011744000000,10269.179088
1011830400000,10270.100947
1011916800000,10291.342491
1012003200000,10143.460695
1012089600000,10143.460695
1012176000000,10281.306832
1012262400000,10230.7311
1012348800000,10239.805601
1012435200000,10237.206206
1012521600000,10241.505445
1012608000000,10160.397359
1012694400000,10160.397359
1012780800000,10245.386974
1012867200000,10204.102845
1012953600000,10204.827447
1013040000000,10221.234419
1013126400000,10188.60984
1013212800000,10125.457666
1013299200000,10125.457666
1013385600000,10110.947806
1013472000000,10104.007198
1013558400000,10140.665445
1013644800000,10152.07926
1013731200000,10187.512923
1013817600000,10126.835152
1013904000000,10126.835152
1013990400000,10155.995411
1014076800000,10154.095721
1014163200000,10130.921881
1014249600000,10168.825423
1014336000000,10140.396708
1014422400000,10076.300446
1014508800000,10076.300446
1014595200000,10120.761692
1014681600000,10123.093757
1014768000000,10130.688519
1014854400000,10109.36308
1014940800000,10065.289781
1015027200000,10029.415832
1015113600000,10029.415832
1015200000000,10041.542375
1015286400000,9995.985948
1015372800000,9979.998852
1015459200000,9982.359654
1015545600000,9976.864272
1015632000000,9940.996931
1015718400000,9940.996931
1015804800000,9962.221142
1015891200000,9978.515402
1015977600000,10001.001832
1016064000000,10004.052596
1016150400000,9982.590648
1016236800000,9961.702248
1016323200000,9961.702248
1016409600000,9987.804254
1016496000000,9950.529505
1016582400000,9914.791809
1016668800000,9884.898492
1016755200000,9828.280273
1016841600000,9830.443434
1016928000000,9830.443434
1017014400000,9739.025574
1017100800000,9702.492275
1017187200000,9778.92751
1017273600000,9865.402912
1017360000000,9906.929161
1017446400000,9906.929161
1017532800000,9906.929161
1017619200000,9906.929161
1017705600000,9839.261325
1017792000000,9818.922526
1017878400000,9710.376503
1017964800000,9677.447075
1018051200000,9765.524699
1018137600000,9765.524699
1018224000000,9453.594236
1018310400000,9736.802465
1018396800000,9676.577063
1018483200000,9434.925953
1018569600000,9392.615402
1018656000000,9240.768688
1018742400000,9240.768688
1018828800000,9329.728545
1018915200000,9371.443642
1019001600000,9339.68957
