date,value
2014-08-22,11680.78
2014-08-23,11678.52
2014-08-24,11673.97
2014-08-25,11705.0
2014-08-26,11726.37
2014-08-27,11689.75
2014-08-28,11697.52
2014-08-29,11698.82
2014-08-30,11698.82
2014-08-31,11704.58
2014-09-01,11713.02
2014-09-02,11735.7
2014-09-03,11774.97
2014-09-04,11785.47
2014-09-05,11772.27
2014-09-06,11769.97
2014-09-07,11748.07
2014-09-08,11744.23
2014-09-09,11764.17
2014-09-10,11814.22
2014-09-11,11833.45
2014-09-12,11838.43
2014-09-13,11840.77
2014-09-14,11862.57
2014-09-15,11934.57
2014-09-16,11946.1
2014-09-17,11959.6
2014-09-18,11994.52
2014-09-19,11994.2
2014-09-20,11978.35
2014-09-21,11991.8
2014-09-22,11983.3
2014-09-23,11975.9
2014-09-24,11965.57
2014-09-25,11976.9
2014-09-26,12021.13
2014-09-27,12042.82
2014-09-28,12042.82
2014-09-29,12144.15
2014-09-30,12186.73
2014-10-01,12164.55
2014-10-02,12170.17
2014-10-03,12176.15
2014-10-04,12179.27
2014-10-05,12181.73
2014-10-06,12204.4
2014-10-07,12198.35
2014-10-08,12224.05
2014-10-09,12203.73
2014-10-10,12211.88
2014-10-11,12219.98
2014-10-12,12219.98
2014-10-13,12212.82
2014-10-14,12218.78
2014-10-15,12219.35
2014-10-16,12243.65
2014-10-17,12151.47
2014-10-18,12116.82
2014-10-19,12126.12
2014-10-20,12060.28
2014-10-21,12009.35
2014-10-22,12026.1
2014-10-23,12042.1
2014-10-24,12057.23
2014-10-25,12066.92
2014-10-26,12124.53
2014-10-27,12162.83
2014-10-28,12156.2
2014-10-29,12099.48
2014-10-30,12128.4
2014-10-31,12109.37
2014-11-01,12084.87
2014-11-02,12082.43
2014-11-03,12101.27
2014-11-04,12126.28
2014-11-05,12140.22
2014-11-06,12163.87
2014-11-07,12160.63
2014-11-08,12161.3
2014-11-09,12168.7
2014-11-10,12170.23
2014-11-11,12197.5
2014-11-12,12202.37
2014-11-13,12219.02
2014-11-14,12207.98
2014-11-15,12212.93
2014-11-16,12227.93
2014-11-17,12208.17
2014-11-18,12144.1
2014-11-19,12152.73
2014-11-20,12176.98
2014-11-21,12148.27
2014-11-22,12143.37
2014-11-23,12151.55
2014-11-24,12157.2
2014-11-25,12169.48
2014-11-26,12182.73
2014-11-27,12173.47
2014-11-28,12210.8
2014-11-29,12230.65
2014-11-30,12214.07
2014-12-01,12247.73
2014-12-02,12276.1
2014-12-03,12311.0
2014-12-04,12305.38
2014-12-05,12304.27
2014-12-06,12309.33
2014-12-07,12311.87
